destination_name,property_type,listing_name,usd_price,local_currency,local_price,size_m2,usd_per_m2,source_name,source_url,note,captured_date
Fukuoka / Itoshima,Holiday house,Shima Nogita 2SLDK holiday house,1115898.453240755,JPY,180000000,291.28,3831.016387121516,RealEstate.co.jp,https://realestate.co.jp/en/forsale/fukuoka/itoshima-shi,Large coastal holiday-house example; high-end for Itoshima.,2026-06-21
Fukuoka / Itoshima,House,Shima Keya 5LDK new house,216360.3112116797,JPY,34900000,85.7,2524.624401536519,RealEstate.co.jp,https://realestate.co.jp/en/forsale/fukuoka/itoshima-shi,Affordable new-build style detached home.,2026-06-21
Fukuoka / Itoshima,Apartment,Itoshima 2LDK apartment,129568.20929295433,JPY,20900000,92.0,1408.3501010103732,Akiya Japan,https://www.akiyajapan.com/city/itoshima,Lower-cost local-living example; verify current status.,2026-06-21
Hakone / Izu,House,"Izu house, 116.76 m²",48355.599640432716,JPY,7800000,116.76,414.14525214485025,Akiya Japan,https://www.akiyajapan.com/city/izu-7,Very low-entry older-stock example; renovation risk likely.,2026-06-21
Hakone / Izu,Apartment,"Izu apartment, 89.42 m²",21264.064970087722,JPY,3430000,89.42,237.79987665050012,Akiya Japan,https://www.akiyajapan.com/city/izu-7,Illustrates how cheap non-prime Izu stock can be.,2026-06-21
Hakone / Izu,House,"Izu house, 142.31 m²",55732.92830352438,JPY,8990000,142.31,391.63044272028935,Akiya Japan,https://www.akiyajapan.com/city/izu-7,Older-stock value example; inspect condition carefully.,2026-06-21
Hakuba,Luxury house,Hakuba 5-bed / 5-bath house,1814372,USD,1814372,293.1,6190.283179802115,JamesEdition,https://www.jamesedition.com/real_estate/hakuba-japan,Prime/luxury western-buyer chalet benchmark.,2026-06-21
Hakuba,House,Hakuba 4-bed house,1251291,USD,1251291,199.7,6265.8537806710065,JamesEdition,https://www.jamesedition.com/real_estate/hakuba-japan,Mid-luxury chalet example.,2026-06-21
Hakuba,Hotel / ryokan,Hokujo hotel / ryokan,1549858.962834382,JPY,250000000,512.52,3023.9970397923635,RealEstate.co.jp,https://realestate.co.jp/en/forsale?prefecture=JP-20&station=1140930&trainline=11409,Operating-property example rather than pure second home.,2026-06-21
Niseko,Condo,"Youtei Tracks 206, Upper Hirafu",557949.2266203775,JPY,90000000,83.96,6645.4171822341295,Niseko Real Estate,https://nisekorealestate.com/properties/upper-hirafu,Entry/mid Hirafu condo example.,2026-06-21
